sweep_id,radar_site,altitude_padding_m,horizontal_corridor_padding_km,reflectivity_max_dbz,max_gates_per_cluster,n_clusters,n_tracklets,n_consistent_tracklets,mean_tracklet_score,mean_balloon_like_score
SWEEP_068,KEMX,1000,60,10.0,10,6559,10,10,1.2497,0.7643
SWEEP_069,KEMX,1000,60,10.0,25,6793,10,10,1.2497,0.7643
SWEEP_070,KEMX,1000,60,20.0,5,6004,10,10,1.2497,0.7643
SWEEP_071,KEMX,1000,60,20.0,10,6549,10,10,1.2497,0.7643
SWEEP_072,KEMX,1000,60,20.0,25,6784,10,10,1.2497,0.7643
SWEEP_073,KEMX,1500,10,5.0,5,1702,6,6,1.1675,0.7133
SWEEP_074,KEMX,1500,10,5.0,10,1809,6,6,1.1675,0.7133
SWEEP_075,KEMX,1500,10,5.0,25,1837,6,6,1.1675,0.7133
SWEEP_076,KEMX,1500,10,10.0,5,1667,10,10,1.2415,0.7522
SWEEP_077,KEMX,1500,10,10.0,10,1774,10,10,1.241,0.7525
SWEEP_078,KEMX,1500,10,10.0,25,1798,10,10,1.241,0.7525
SWEEP_079,KEMX,1500,10,20.0,5,1666,10,10,1.2415,0.7522
SWEEP_080,KEMX,1500,10,20.0,10,1772,10,10,1.241,0.7525
SWEEP_081,KEMX,1500,10,20.0,25,1797,10,10,1.241,0.7525
SWEEP_082,KEMX,1500,20,5.0,5,3460,5,5,1.2326,0.7253
SWEEP_083,KEMX,1500,20,5.0,10,3714,5,5,1.2326,0.7253
SWEEP_084,KEMX,1500,20,5.0,25,3796,5,5,1.2326,0.7253
SWEEP_085,KEMX,1500,20,10.0,5,3226,10,10,1.2496,0.7661
SWEEP_086,KEMX,1500,20,10.0,10,3475,10,10,1.2496,0.7661
SWEEP_087,KEMX,1500,20,10.0,25,3548,10,10,1.2496,0.7661
SWEEP_088,KEMX,1500,20,20.0,5,3224,10,10,1.2496,0.7661
SWEEP_089,KEMX,1500,20,20.0,10,3472,10,10,1.2496,0.7661
SWEEP_090,KEMX,1500,20,20.0,25,3546,10,10,1.2496,0.7661
SWEEP_091,KEMX,1500,40,5.0,5,5912,10,10,1.2276,0.7296
SWEEP_092,KEMX,1500,40,5.0,10,6464,10,10,1.2277,0.7289
SWEEP_093,KEMX,1500,40,5.0,25,6655,10,10,1.2277,0.7289
SWEEP_094,KEMX,1500,40,10.0,5,5884,10,10,1.2276,0.7296
SWEEP_095,KEMX,1500,40,10.0,10,6440,10,10,1.2277,0.7289
SWEEP_096,KEMX,1500,40,10.0,25,6635,10,10,1.2277,0.7289
SWEEP_097,KEMX,1500,40,20.0,5,5881,10,10,1.2276,0.7296
SWEEP_098,KEMX,1500,40,20.0,10,6435,10,10,1.2277,0.7289
SWEEP_099,KEMX,1500,40,20.0,25,6632,10,10,1.2277,0.7289
SWEEP_100,KEMX,1500,60,5.0,5,8229,10,10,1.2276,0.7296
SWEEP_101,KEMX,1500,60,5.0,10,8909,10,10,1.2277,0.7289
SWEEP_102,KEMX,1500,60,5.0,25,9164,10,10,1.2277,0.7289
SWEEP_103,KEMX,1500,60,10.0,5,8181,10,10,1.2276,0.7296
SWEEP_104,KEMX,1500,60,10.0,10,8878,10,10,1.2277,0.7289
SWEEP_105,KEMX,1500,60,10.0,25,9131,10,10,1.2277,0.7289
SWEEP_106,KEMX,1500,60,20.0,5,8175,10,10,1.2276,0.7296
SWEEP_107,KEMX,1500,60,20.0,10,8870,10,10,1.2277,0.7289
SWEEP_108,KEMX,1500,60,20.0,25,9124,10,10,1.2277,0.7289
SWEEP_109,KEMX,2000,10,5.0,5,2301,6,6,1.1502,0.7036
SWEEP_110,KEMX,2000,10,5.0,10,2455,4,4,1.1514,0.7016
SWEEP_111,KEMX,2000,10,5.0,25,2489,4,4,1.1514,0.7016
SWEEP_112,KEMX,2000,10,10.0,5,2251,10,10,1.2423,0.7525
SWEEP_113,KEMX,2000,10,10.0,10,2402,10,10,1.2425,0.7508
SWEEP_114,KEMX,2000,10,10.0,25,2429,10,10,1.2425,0.7508
SWEEP_115,KEMX,2000,10,20.0,5,2251,10,10,1.2423,0.7525
SWEEP_116,KEMX,2000,10,20.0,10,2402,10,10,1.2425,0.7508
SWEEP_117,KEMX,2000,10,20.0,25,2429,10,10,1.2425,0.7508
SWEEP_118,KEMX,2000,20,5.0,5,4330,10,10,1.2485,0.736
SWEEP_119,KEMX,2000,20,5.0,10,4671,10,10,1.2485,0.736
SWEEP_120,KEMX,2000,20,5.0,25,4767,10,10,1.2485,0.736
