case_id,radar_site,scan_time_utc,scan_filename,search_window,cluster_id,n_gates,cluster_center_lat_deg,cluster_center_lon_deg,cluster_center_alt_m,cluster_min_distance_to_expected_km,cluster_min_vertical_distance_m,cluster_max_reflectivity_dbz,cluster_mean_reflectivity_dbz,cluster_p95_reflectivity_dbz,cluster_velocity_mean_ms,cluster_spectrum_width_mean_ms,cluster_rhohv_mean,compactness_km,notes
k7uaz_20260322,KEMX,2026-03-22T18:49:37Z,KEMX20260322_184937_V06,loose,20260322_184937_loose_001,71482,32.25224157318926,-110.944550528726,2586.5832657172436,0.1948356423459373,0.0,27.5,2.760946811784785,10.0,-0.3993382540086536,3.092971291189365,0.7497197199139458,22.778872327747454,DBSCAN cluster
k7uaz_20260322,KEMX,2026-03-22T18:49:37Z,KEMX20260322_184937_V06,normal,20260322_184937_normal_001,17141,32.26560937671493,-110.95628780703346,2562.7846099994167,0.1948356423459373,0.0,25.0,2.1110203605390585,8.5,-1.2077138679015356,3.1289005363237443,0.7780841373992783,10.755242348042703,DBSCAN cluster
k7uaz_20260322,KEMX,2026-03-22T18:49:37Z,KEMX20260322_184937_V06,tight,20260322_184937_tight_001,4216,32.26893264583,-110.9591286255246,2552.3795066413663,0.1948356423459373,10.0,20.5,2.125474383301708,9.0,-0.8028673835125448,3.1196209016393444,0.7846608451791397,5.163509530842378,DBSCAN cluster
k7uaz_20260322,KEMX,2026-03-22T18:56:42Z,KEMX20260322_185642_V06,loose,20260322_185642_loose_001,70858,32.25249954380642,-110.94410640841896,2575.7418640097094,0.1773467732290779,0.0,27.0,2.5149383273589434,10.0,0.040706335991587066,3.1734276361935936,0.7586839117045324,22.71550025752555,DBSCAN cluster
k7uaz_20260322,KEMX,2026-03-22T18:56:42Z,KEMX20260322_185642_V06,normal,20260322_185642_normal_001,17029,32.26566186164426,-110.95653767028598,2557.1195020259556,0.1773467732290779,3.0,22.5,1.837747372129896,8.0,-1.0226267222854253,3.155957500632431,0.7902173288908324,10.596861513737382,DBSCAN cluster
k7uaz_20260322,KEMX,2026-03-22T18:56:42Z,KEMX20260322_185642_V06,tight,20260322_185642_tight_001,4200,32.26895602272442,-110.95914170647703,2546.342380952381,0.1773467732290779,94.0,22.0,2.018452380952381,8.0,-0.2975379779989523,3.089454354669465,0.8027887203206917,5.16158272160508,DBSCAN cluster
k7uaz_20260322,KEMX,2026-03-22T19:03:48Z,KEMX20260322_190348_V06,loose,20260322_190348_loose_001,70596,32.25270010800596,-110.94373829761639,2578.121550796079,0.1799102895927919,2.0,27.0,2.271722193892005,9.5,0.7539362490733877,3.189701213541821,0.7637340396331671,22.720076890212177,DBSCAN cluster
k7uaz_20260322,KEMX,2026-03-22T19:03:48Z,KEMX20260322_190348_V06,normal,20260322_190348_normal_001,16888,32.26571414691749,-110.956314626897,2552.2923969682615,0.1799102895927919,3.0,27.0,1.5385776882993842,8.0,-0.3211664482306684,3.263313221406086,0.789854694582099,10.605849785894268,DBSCAN cluster
k7uaz_20260322,KEMX,2026-03-22T19:03:48Z,KEMX20260322_190348_V06,tight,20260322_190348_tight_001,4189,32.268979441305994,-110.95911427758006,2545.1336834566723,0.1799102895927919,94.0,20.0,2.1188827882549535,8.5,0.20052910052910053,3.0974060349391213,0.8057888065554533,5.161934102062602,DBSCAN cluster
k7uaz_20260322,KEMX,2026-03-22T19:10:53Z,KEMX20260322_191053_V06,loose,20260322_191053_loose_001,70151,32.25241804365892,-110.94348109269725,2572.1969465866487,0.1823435894094233,2.0,32.0,1.8159755384812761,9.0,1.3977599515665204,3.185445298783072,0.7674398127464794,22.759987517209936,DBSCAN cluster
