point_id,point_type,source_model,model_cycle_time_utc,valid_time_utc,lat_deg,lon_deg,target_alt_m,pressure_level_hpa_lower,pressure_level_hpa_upper,hgt_lower_m,hgt_upper_m,u_wind_ms,v_wind_ms,wind_speed_ms,wind_speed_kmh,wind_from_direction_deg,wind_to_direction_deg,interpolation_method,notes
k7uaz_20260322_001,telemetry,hrrr,2026-03-22 19:00,2026-03-22T19:18:00Z,32.27,-110.96,2340.0,775.0,750.0,2217.141357421875,2468.646484375,16.879018783569336,0.9707749485969543,16.90691216919606,60.86488380910583,266.7083335228199,86.70833352281991,interpolated,
k7uaz_20260322_002,telemetry,hrrr,2026-03-22 19:00,2026-03-22T19:28:00Z,32.27,-110.88,2880.0,725.0,700.0,2729.075439453125,2998.65380859375,21.621179580688477,-1.5362043380737305,21.675685230891705,78.03246683121014,274.0640872508229,94.06408725082294,interpolated,
KIWA_T001_2026-03-22T19:26:39Z,candidate,hrrr,2026-03-22 19:00,2026-03-22T19:26:39Z,32.255364,-110.839702,2843.5,725.0,700.0,2729.075439453125,2998.65380859375,21.26116180419922,-1.3827437162399292,21.306078509409957,76.70188263387585,273.7210554445578,93.72105544455779,interpolated,
KIWA_T002_2026-03-22T19:26:39Z,candidate,hrrr,2026-03-22 19:00,2026-03-22T19:26:39Z,32.19818,-110.93447,2863.0,725.0,700.0,2729.075439453125,2998.65380859375,21.453500747680664,-1.4647295475006104,21.503444537516685,77.41240033506007,273.90578608837717,93.90578608837716,interpolated,
KIWA_T003_2026-03-22T19:26:39Z,candidate,hrrr,2026-03-22 19:00,2026-03-22T19:26:39Z,32.255364,-110.839702,2843.5,725.0,700.0,2729.075439453125,2998.65380859375,21.26116180419922,-1.3827437162399292,21.306078509409957,76.70188263387585,273.7210554445578,93.72105544455779,interpolated,
KIWA_T004_2026-03-22T19:26:39Z,candidate,hrrr,2026-03-22 19:00,2026-03-22T19:26:39Z,32.218439,-110.962432,2780.0,725.0,700.0,2729.075439453125,2998.65380859375,20.634828567504883,-1.1157643795013428,20.664972300026914,74.39390028009689,273.09507755618966,93.09507755618966,interpolated,
KIWA_T005_2026-03-22T19:26:39Z,candidate,hrrr,2026-03-22 19:00,2026-03-22T19:26:39Z,32.19818,-110.93447,2863.0,725.0,700.0,2729.075439453125,2998.65380859375,21.453500747680664,-1.4647295475006104,21.503444537516685,77.41240033506007,273.90578608837717,93.90578608837716,interpolated,
KIWA_T006_2026-03-22T19:26:39Z,candidate,hrrr,2026-03-22 19:00,2026-03-22T19:26:39Z,32.255364,-110.839702,2843.5,725.0,700.0,2729.075439453125,2998.65380859375,21.26116180419922,-1.3827437162399292,21.306078509409957,76.70188263387585,273.7210554445578,93.72105544455779,interpolated,
KIWA_T007_2026-03-22T19:26:39Z,candidate,hrrr,2026-03-22 19:00,2026-03-22T19:26:39Z,32.255364,-110.839702,2843.5,725.0,700.0,2729.075439453125,2998.65380859375,21.26116180419922,-1.3827437162399292,21.306078509409957,76.70188263387585,273.7210554445578,93.72105544455779,interpolated,
KIWA_T008_2026-03-22T19:26:39Z,candidate,hrrr,2026-03-22 19:00,2026-03-22T19:26:39Z,32.19818,-110.93447,2863.0,725.0,700.0,2729.075439453125,2998.65380859375,21.453500747680664,-1.4647295475006104,21.503444537516685,77.41240033506007,273.90578608837717,93.90578608837716,interpolated,
KIWA_T009_2026-03-22T19:26:39Z,candidate,hrrr,2026-03-22 19:00,2026-03-22T19:26:39Z,32.19818,-110.93447,2863.0,725.0,700.0,2729.075439453125,2998.65380859375,21.453500747680664,-1.4647295475006104,21.503444537516685,77.41240033506007,273.90578608837717,93.90578608837716,interpolated,
KIWA_T010_2026-03-22T19:26:39Z,candidate,hrrr,2026-03-22 19:00,2026-03-22T19:26:39Z,32.2366,-110.901571,2808.7,725.0,700.0,2729.075439453125,2998.65380859375,20.917911529541016,-1.2364304065704346,20.954421559852157,75.43591761546777,273.3827427091008,93.38274270910081,interpolated,
k7uaz_20260322_003,telemetry,hrrr,2026-03-22 20:00,2026-03-22T19:38:00Z,32.31,-110.79,3660.0,650.0,625.0,3565.863037109375,3862.73095703125,27.466585159301758,-2.3969385623931885,27.570974135584382,99.25550688810378,274.9874208457086,94.98742084570861,interpolated,
k7uaz_20260322_004,telemetry,hrrr,2026-03-22 20:00,2026-03-22T19:48:00Z,32.35,-110.71,4280.0,600.0,575.0,4170.5263671875,4488.2568359375,31.109886169433594,-2.837174654006958,31.238991300815957,112.46036868293744,275.2108739326138,95.2108739326138,interpolated,
KEMX_T001_2026-03-22T19:53:25Z,candidate,hrrr,2026-03-22 20:00,2026-03-22T19:53:25Z,32.387394,-110.634818,4706.5,575.0,550.0,4488.2568359375,4818.81640625,33.67345428466797,-2.7428176403045654,33.784975537501715,121.62591193500617,274.6566562729359,94.65665627293589,interpolated,
