tracklet_id,scan_time_utc,candidate_speed_kmh,candidate_bearing_deg,hrrr_wind_speed_kmh,hrrr_wind_to_direction_deg,speed_difference_kmh,speed_ratio,bearing_difference_deg,wind_consistency_label
KEMX_T004,2026-03-22 19:53:25+00:00,,,123.90587339282224,94.43698217350318,,,,insufficient_wind_data
KEMX_T004,2026-03-22 20:00:31+00:00,63.5427249452442,139.6463663263017,132.41287660006336,93.60351085042176,-68.87015165481915,0.47988327553042376,46.042855475879946,wind_inconsistent
KEMX_T004,2026-03-22 20:07:36+00:00,54.77590157421727,123.25198017832349,141.6353309648439,93.35325470670352,-86.85942939062662,0.38673896690235793,29.89872547161997,wind_inconsistent
KEMX_T004,2026-03-22 20:14:42+00:00,106.51790355747588,66.02287797972099,150.06850259276212,93.63710498427996,-43.55059903528624,0.7097952049707018,-27.614227004558984,weak_atmospheric_wind_consistency
KEMX_T004,2026-03-22 20:21:35+00:00,23.71498658997237,54.74538513675759,153.08312006402377,93.69582845525338,-129.3681334740514,0.15491575152148765,-38.950443318495786,wind_inconsistent
KEMX_T004,2026-03-22 20:28:40+00:00,18.685367970313308,73.26160652074134,168.3831883059175,91.11234009624648,-149.6978203356042,0.1109693203834925,-17.85073357550516,wind_inconsistent
KEMX_T004,2026-03-22 20:49:55+00:00,34.988476005340935,61.09197402155013,184.2710349763158,90.0116165420633,-149.28255897097486,0.18987507184641347,-28.91964252051315,wind_inconsistent
KIWA_T001,2026-03-22 19:26:39+00:00,,,76.70188263387585,93.7210554445578,,,,insufficient_wind_data
KIWA_T001,2026-03-22 19:33:45+00:00,13.304636970396405,275.91904204096534,74.61562560035341,91.97971207933382,-61.31098862995701,0.17830899176074708,-176.06067003836847,wind_inconsistent
KIWA_T001,2026-03-22 19:40:52+00:00,0.2375485991506249,312.9119189374936,101.82990339085303,95.006986529728,-101.5923547917024,0.0023327980410512983,-142.0950675922344,wind_inconsistent
KIWA_T001,2026-03-22 19:48:00+00:00,59.25122335044322,23.169957753044855,118.7019402350017,94.9510054330969,-59.45071688455848,0.4991596871385577,-71.78104768005204,wind_inconsistent
KIWA_T001,2026-03-22 19:55:07+00:00,29.876169572802343,44.258158974912874,118.21164826658963,95.00182032888551,-88.3354786937873,0.25273456559395846,-50.74366135397264,wind_inconsistent
KIWA_T001,2026-03-22 20:02:14+00:00,126.69080866400873,18.616282683774216,135.30084383807312,93.39499776215705,-8.610035174064393,0.9363637732786885,-74.77871507838283,wind_inconsistent
